label,form,ids,note
full_enrolled/by_determined_dx/7_RBD,FrSBe,0,complete
full_enrolled/by_determined_dx/7_RBD,MBIC,0,complete
full_enrolled/by_determined_dx/7_RBD,MBIC (CaPRI),0,complete
full_enrolled/by_determined_dx/7_RBD,MDS-UPDRS,6,complete
full_enrolled/by_determined_dx/7_RBD,MDS-UPDRS-1,0,complete
full_enrolled/by_determined_dx/7_RBD,Medication,4,complete
full_enrolled/by_determined_dx/7_RBD,MoCA,6,complete
full_enrolled/by_determined_dx/7_RBD,MoCA-1,0,complete
full_enrolled/by_determined_dx/7_RBD,MoCA-2,0,complete
full_enrolled/by_determined_dx/7_RBD,Neuropsychological,2,complete
full_enrolled/by_determined_dx/7_RBD,Neuropsychological (CaPRI),0,complete
full_enrolled/by_determined_dx/7_RBD,Neuropsychological V02,0,complete
full_enrolled/by_determined_dx/7_RBD,PDQ 39,1,complete
full_enrolled/by_determined_dx/7_RBD,PDQ 8,0,complete
full_enrolled/by_determined_dx/7_RBD,Parkinson Severity Scale,0,complete
full_enrolled/by_determined_dx/7_RBD,SCOPA,0,complete
full_enrolled/by_determined_dx/7_RBD,Schwab & England,0,complete
full_enrolled/by_determined_dx/7_RBD,Timed Up Go,3,complete
full_enrolled/by_determined_dx/7_RBD,UPDRS 1.2 part 3,0,complete
enrolled_and_partial,enrollment,2896,
enrolled_and_partial,Apathy Evaluation Informant,0,complete
enrolled_and_partial,Apathy Evaluation Self,0,complete
enrolled_and_partial,Apathy Scale,186,complete
enrolled_and_partial,BAI,63,complete
enrolled_and_partial,BDII,467,complete
enrolled_and_partial,Clinical,1949,complete
enrolled_and_partial,Demographic,2173,complete
enrolled_and_partial,EHI,478,complete
enrolled_and_partial,Epidemiological,2896,no_completion_col
enrolled_and_partial,Fatigue Severity Scale,185,complete
enrolled_and_partial,FrSBe,0,complete
enrolled_and_partial,MBIC,441,complete
enrolled_and_partial,MBIC (CaPRI),367,complete
enrolled_and_partial,MDS-UPDRS,1679,complete
enrolled_and_partial,MDS-UPDRS-1,27,complete
enrolled_and_partial,Medication,1945,complete
enrolled_and_partial,MoCA,1946,complete
enrolled_and_partial,MoCA-1,50,complete
enrolled_and_partial,MoCA-2,1,complete
enrolled_and_partial,Neuropsychological,466,complete
enrolled_and_partial,Neuropsychological (CaPRI),135,complete
enrolled_and_partial,Neuropsychological V02,36,complete
enrolled_and_partial,PDQ 39,535,complete
enrolled_and_partial,PDQ 8,190,complete
enrolled_and_partial,Parkinson Severity Scale,189,complete
enrolled_and_partial,SCOPA,188,complete
enrolled_and_partial,Schwab & England,185,complete
enrolled_and_partial,Timed Up Go,204,complete
enrolled_and_partial,UPDRS 1.2 part 3,183,complete
enrolled_and_partial/by_enrolment_group/PD,enrollment,2382,
enrolled_and_partial/by_enrolment_group/PD,Apathy Evaluation Informant,0,complete
enrolled_and_partial/by_enrolment_group/PD,Apathy Evaluation Self,0,complete
enrolled_and_partial/by_enrolment_group/PD,Apathy Scale,183,complete
enrolled_and_partial/by_enrolment_group/PD,BAI,47,complete
