Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Motor,Mds Updrs,enrolment_group,Updrs_3_3_rue value,107.6112,0.0,0.0655,0.0,Yes,59.0,1.288,0.948,1.0,84.0,0.179,0.47,0.0,1473,1.228,0.94,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_3_lue value,98.3571,0.0,0.0598,0.0,Yes,59.0,1.407,1.002,1.0,84.0,0.179,0.443,0.0,1472,1.165,0.944,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_3_rle value,82.9751,0.0,0.0502,0.0,Yes,59.0,1.322,0.99,1.0,84.0,0.143,0.385,0.0,1472,1.066,1.023,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_3_lle value,66.158,0.0,0.0398,0.0,Yes,59.0,1.203,1.03,1.0,84.0,0.19,0.424,0.0,1472,1.025,1.015,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_4_r value,124.5212,0.0,0.0757,0.0,Yes,60.0,1.783,1.151,2.0,84.0,0.167,0.434,0.0,1478,1.371,1.038,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_4_l value,139.4357,0.0,0.0849,0.0,Yes,60.0,2.267,1.103,3.0,84.0,0.262,0.518,0.0,1478,1.484,1.054,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_5_r value,76.6348,0.0,0.0461,0.0,Yes,60.0,1.483,1.097,2.0,83.0,0.241,0.554,0.0,1478,1.018,0.943,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_5_l value,97.8238,0.0,0.0592,0.0,Yes,60.0,1.783,1.091,2.0,84.0,0.214,0.468,0.0,1477,1.105,0.998,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_6_r value,98.906,0.0,0.0599,0.0,Yes,60.0,1.567,1.11,2.0,84.0,0.155,0.396,0.0,1476,1.087,0.972,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_6_l value,118.1621,0.0,0.0717,0.0,Yes,60.0,1.933,1.191,2.0,84.0,0.179,0.443,0.0,1478,1.25,1.037,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_7_r value,71.0707,0.0,0.0427,0.0,Yes,60.0,1.85,1.191,2.0,84.0,0.357,0.739,0.0,1476,1.072,1.069,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_7_l value,71.9971,0.0,0.0432,0.0,Yes,60.0,2.217,1.121,2.0,84.0,0.56,0.855,0.0,1478,1.265,1.141,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_8_r value,86.1528,0.0,0.0521,0.0,Yes,60.0,1.45,1.185,1.0,84.0,0.071,0.259,0.0,1473,0.76,0.89,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_8_l value,89.1641,0.0,0.0539,0.0,Yes,60.0,1.75,1.174,2.0,84.0,0.179,0.47,0.0,1476,0.877,0.961,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_9 value,62.872,0.0,0.0376,0.0,Yes,60.0,1.283,1.329,1.0,84.0,0.095,0.334,0.0,1477,0.384,0.74,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_10 value,130.7874,0.0,0.0797,0.0,Yes,60.0,1.883,1.236,2.0,84.0,0.119,0.326,0.0,1474,1.022,0.872,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_11 value,31.3881,0.0,0.0182,0.0,Yes,60.0,0.45,0.891,0.0,84.0,0.0,0.0,0.0,1478,0.118,0.426,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_12 value,36.2516,0.0,0.0212,0.0,Yes,59.0,1.373,1.585,0.0,84.0,0.131,0.46,0.0,1472,0.605,1.01,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_13 value,79.6167,0.0,0.048,0.0,Yes,60.0,1.35,1.273,1.0,84.0,0.143,0.352,0.0,1477,0.957,0.928,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_14,151.3701,0.0,0.0923,0.0,Yes,59.0,2.068,1.143,2.0,84.0,0.119,0.326,0.0,1478,1.194,0.953,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_15_r value,34.4235,0.0,0.0201,0.0,Yes,60.0,0.35,0.685,0.0,84.0,0.083,0.278,0.0,1474,0.501,0.732,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_15_l value,35.2424,0.0,0.0205,0.0,Yes,60.0,0.3,0.497,0.0,84.0,0.143,0.415,0.0,1478,0.537,0.712,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_16_r value,32.6354,0.0,0.0189,0.0,Yes,60.0,0.283,0.555,0.0,84.0,0.202,0.485,0.0,1477,0.577,0.741,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_16_l value,30.8379,0.0,0.0178,0.0,Yes,60.0,0.467,0.596,0.0,84.0,0.274,0.567,0.0,1477,0.695,0.78,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_17_rue value,57.6347,0.0,0.0344,0.0,Yes,60.0,0.2,0.605,0.0,84.0,0.024,0.153,0.0,1478,0.62,0.917,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_17_lue value,37.2619,0.0,0.0218,0.0,Yes,60.0,0.35,0.606,0.0,84.0,0.06,0.238,0.0,1478,0.568,0.842,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_17_rle value,10.9536,0.004183,0.0055,0.004403,Yes,60.0,0.133,0.43,0.0,84.0,0.012,0.109,0.0,1476,0.194,0.554,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_17_lle value,8.3663,0.01525,0.0039,0.01525,Yes,60.0,0.067,0.252,0.0,84.0,0.024,0.153,0.0,1478,0.156,0.475,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_17_lipjaw value,8.796,0.012302,0.0042,0.012617,Yes,59.0,0.051,0.222,0.0,84.0,0.012,0.109,0.0,1478,0.127,0.414,0.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_18 value,69.862,0.0,0.0419,0.0,Yes,60.0,0.517,1.033,0.0,84.0,0.095,0.368,0.0,1478,1.092,1.343,1.0,,,,,,,,,,,,,,,,,,,,
